,Station,Easting,Northing,Elevation,Alignment_Station_int
1,204+874.1,2612071.5482,1269294.1221,270.962,204874.1
3,204+876,2612072.9907,1269295.3587,270.989,204876.0
5,204+879,2612075.3031,1269297.2698,271.033,204879.0
7,204+882,2612077.6574,1269299.1291,271.076,204882.0
9,204+885,2612080.0523,1269300.9358,271.12,204885.0
11,204+888,2612082.4866,1269302.689,271.163,204888.0
13,204+891,2612084.9592,1269304.3878,271.207,204891.0
15,204+894,2612087.4688,1269306.0314,271.25,204894.0
17,204+897,2612090.0142,1269307.619,271.294,204897.0
19,204+900,2612092.5942,1269309.1498,271.337,204900.0
21,204+903,2612095.2075,1269310.6231,271.381,204903.0
23,204+906,2612097.8528,1269312.0381,271.424,204906.0
25,204+909,2612100.5287,1269313.3941,271.468,204909.0
27,204+912,2612103.2341,1269314.6905,271.511,204912.0
29,204+915,2612105.9675,1269315.9266,271.555,204915.0
31,204+918,2612108.7277,1269317.1019,271.598,204918.0
33,204+921,2612111.5132,1269318.2157,271.642,204921.0
35,204+924,2612114.3227,1269319.2675,271.685,204924.0
37,204+927,2612117.1548,1269320.2568,271.729,204927.0
39,204+927.637,2612117.7589,1269320.4587,271.738,204927.637
41,204+930,2612120.0082,1269321.1831,271.771,204930.0
43,204+933,2612122.8813,1269322.0459,271.811,204933.0
45,204+936,2612125.7729,1269322.8449,271.847,204936.0
47,204+939,2612128.6815,1269323.5796,271.879,204939.0
49,204+942,2612131.6057,1269324.2496,271.909,204942.0
51,204+945,2612134.5439,1269324.8547,271.935,204945.0
53,204+948,2612137.4949,1269325.3946,271.958,204948.0
55,204+951,2612140.4571,1269325.8689,271.978,204951.0
57,204+954,2612143.4291,1269326.2774,271.994,204954.0
59,204+957,2612146.4094,1269326.6201,272.007,204957.0
61,204+960,2612149.3966,1269326.8965,272.017,204960.0
63,204+963,2612152.3891,1269327.1068,272.023,204963.0
65,204+966,2612155.3856,1269327.2506,272.027,204966.0
67,204+969,2612158.3846,1269327.3281,272.027,204969.0
69,204+972,2612161.3845,1269327.339,272.023,204972.0
71,204+975,2612164.3839,1269327.2835,272.017,204975.0
73,204+978,2612167.3814,1269327.1615,272.007,204978.0
75,204+981,2612170.3754,1269326.9731,271.994,204981.0
77,204+984,2612173.3645,1269326.7185,271.978,204984.0
79,204+987,2612176.3472,1269326.3977,271.958,204987.0
81,204+990,2612179.3221,1269326.0108,271.935,204990.0
83,204+993,2612182.2877,1269325.5581,271.909,204993.0
85,204+996,2612185.2425,1269325.0399,271.879,204996.0
87,204+999,2612188.1852,1269324.4562,271.847,204999.0
89,205+002,2612191.1141,1269323.8075,271.811,205002.0
91,205+005,2612194.028,1269323.0941,271.771,205005.0
93,205+008,2612196.9253,1269322.3163,271.729,205008.0
95,205+011,2612199.8047,1269321.4745,271.683,205011.0
97,205+014,2612202.6648,1269320.569,271.634,205014.0
99,205+014.027,2612202.6903,1269320.5606,271.633,205014.027
101,205+017,2612205.5957,1269319.6207,271.581,205017.0
103,205+020,2612208.4335,1269318.6479,271.526,205020.0
105,205+023,2612211.2494,1269317.6135,271.467,205023.0
107,205+026,2612214.0425,1269316.5186,271.404,205026.0
109,205+029,2612216.8114,1269315.3643,271.339,205029.0
111,205+032,2612219.5554,1269314.1517,271.27,205032.0
113,205+035,2612222.2733,1269312.8819,271.198,205035.0
115,205+038,2612224.9643,1269311.5559,271.123,205038.0
117,205+041,2612227.6275,1269310.1749,271.044,205041.0
119,205+044,2612230.262,1269308.7399,270.962,205044.0
121,205+047,2612232.8671,1269307.2522,270.877,205047.0
123,205+050,2612235.4419,1269305.7128,270.789,205050.0
125,205+053,2612237.9859,1269304.1228,270.697,205053.0
127,205+056,2612240.4982,1269302.4833,270.602,205056.0
129,205+059,2612242.9784,1269300.7956,270.504,205059.0
131,205+062,2612245.4258,1269299.0607,270.402,205062.0
133,205+065,2612247.8502,1269297.2719,270.298,205065.0
137,205+068,2612250.2986,1269295.5607,270.19,205068.0
139,205+071,2612252.7376,1269293.814,270.078,205071.0
141,205+074,2612255.1563,1269292.0392,269.964,205074.0
143,205+077,2612257.5543,1269290.2366,269.846,205077.0
145,205+080,2612259.9314,1269288.4065,269.725,205080.0
147,205+083,2612262.2872,1269286.5491,269.6,205083.0
149,205+086,2612264.6214,1269284.6646,269.473,205086.0
151,205+089,2612266.9338,1269282.7533,269.342,205089.0
153,205+092,2612269.2239,1269280.8155,269.207,205092.0
155,205+095,2612271.4915,1269278.8513,269.07,205095.0
157,205+098,2612273.7363,1269276.8611,268.929,205098.0
159,205+101,2612275.958,1269274.8452,268.785,205101.0
161,205+104,2612278.1562,1269272.8038,268.638,205104.0
163,205+107,2612280.3308,1269270.7371,268.487,205107.0
165,205+110,2612282.4814,1269268.6455,268.333,205110.0
167,205+113,2612284.6077,1269266.5292,268.176,205113.0
169,205+116,2612286.7095,1269264.3885,268.015,205116.0
171,205+119,2612288.7864,1269262.2237,267.852,205119.0
173,205+122,2612290.8382,1269260.0351,267.685,205122.0
175,205+125,2612292.8646,1269257.8229,267.514,205125.0
177,205+125.545,2612293.2297,1269257.4188,267.483,205125.545
179,205+128,2612294.8653,1269255.5875,267.342,205128.0
181,205+131,2612296.8401,1269253.3292,267.169,205131.0
183,205+134,2612298.7887,1269251.0483,266.997,205134.0
185,205+137,2612300.7109,1269248.745,266.824,205137.0
187,205+140,2612302.6064,1269246.4197,266.652,205140.0
189,205+143,2612304.4749,1269244.0726,266.479,205143.0
191,205+146,2612306.3162,1269241.7042,266.307,205146.0
193,205+149,2612308.1301,1269239.3147,266.134,205149.0
195,205+152,2612309.9163,1269236.9044,265.962,205152.0
197,205+155,2612311.6745,1269234.4737,265.789,205155.0
199,205+158,2612313.4046,1269232.0228,265.617,205158.0
201,205+161,2612315.1063,1269229.5521,265.444,205161.0
203,205+162.354,2612315.865,1269228.4306,265.367,205162.354
205,205+164,2612316.787,1269227.0617,265.272,205164.0
207,205+167,2612318.4418,1269224.5594,265.099,205167.0
209,205+170,2612320.0698,1269222.0395,264.927,205170.0
211,205+173,2612321.6723,1269219.5034,264.754,205173.0
213,205+176,2612323.2505,1269216.9521,264.582,205176.0
215,205+179,2612324.8057,1269214.3867,264.409,205179.0
217,205+182,2612326.3393,1269211.8083,264.237,205182.0
219,205+185,2612327.8526,1269209.218,264.064,205185.0
221,205+188,2612329.347,1269206.6167,263.892,205188.0
223,205+191,2612330.8239,1269204.0054,263.719,205191.0
225,205+194,2612332.2847,1269201.3851,263.547,205194.0
227,205+197,2612333.7308,1269198.7566,263.374,205197.0
229,205+200,2612335.1636,1269196.1209,263.202,205200.0
231,205+203,2612336.5846,1269193.4788,263.029,205203.0
233,205+206,2612337.9953,1269190.8312,262.857,205206.0
235,205+209,2612339.3971,1269188.1789,262.684,205209.0
237,205+212,2612340.7916,1269185.5226,262.512,205212.0
239,205+215,2612342.1801,1269182.8633,262.339,205215.0
241,205+218,2612343.5643,1269180.2017,262.167,205218.0
243,205+220.619,2612344.7703,1269177.8768,262.016,205220.619
245,205+221,2612344.9482,1269177.54,261.994,205221.0
247,205+224,2612346.3503,1269174.8878,261.822,205224.0
249,205+227,2612347.754,1269172.2365,261.649,205227.0
251,205+230,2612349.1593,1269169.586,261.477,205230.0
253,205+230.263,2612349.2826,1269169.3536,261.462,205230.263
255,205+233,2612350.5662,1269166.9364,261.305,205233.0
257,205+236,2612351.9747,1269164.2875,261.133,205236.0
259,205+239,2612353.3848,1269161.6396,260.962,205239.0
261,205+242,2612354.7964,1269158.9925,260.792,205242.0
263,205+245,2612356.2097,1269156.3462,260.622,205245.0
265,205+248,2612357.6245,1269153.7008,260.452,205248.0
267,205+251,2612359.041,1269151.0562,260.284,205251.0
269,205+254,2612360.459,1269148.4125,260.116,205254.0
271,205+257,2612361.8786,1269145.7696,259.948,205257.0
273,205+260,2612363.2998,1269143.1276,259.781,205260.0
275,205+263,2612364.7225,1269140.4865,259.615,205263.0
277,205+266,2612366.1469,1269137.8462,259.45,205266.0
279,205+269,2612367.5728,1269135.2067,259.284,205269.0
281,205+272,2612369.0003,1269132.5681,259.12,205272.0
283,205+275,2612370.4295,1269129.9304,258.956,205275.0
285,205+278,2612371.8601,1269127.2935,258.793,205278.0
287,205+281,2612373.2924,1269124.6575,258.63,205281.0
289,205+284,2612374.7263,1269122.0223,258.468,205284.0
291,205+287,2612376.1617,1269119.388,258.307,205287.0
293,205+290,2612377.5987,1269116.7546,258.146,205290.0
295,205+293,2612379.0373,1269114.122,257.986,205293.0
297,205+296,2612380.4775,1269111.4903,257.826,205296.0
299,205+299,2612381.9192,1269108.8595,257.667,205299.0
301,205+302,2612383.3625,1269106.2295,257.508,205302.0
303,205+305,2612384.8074,1269103.6004,257.351,205305.0
305,205+308,2612386.2539,1269100.9721,257.193,205308.0
307,205+311,2612387.702,1269098.3447,257.037,205311.0
309,205+314,2612389.1516,1269095.7182,256.881,205314.0
311,205+317,2612390.6028,1269093.0926,256.725,205317.0
313,205+320,2612392.0556,1269090.4678,256.57,205320.0
315,205+323,2612393.51,1269087.8439,256.416,205323.0
