,Station,Easting,Northing,Elevation,Alignment_Station_real
1,204+874.1,2612071.548,1269294.122,270.962,204874.1
3,204+876,2612072.991,1269295.359,270.989,204876.0
5,204+879,2612075.303,1269297.27,271.033,204879.0
7,204+882,2612077.657,1269299.129,271.076,204882.0
9,204+885,2612080.052,1269300.936,271.12,204885.0
11,204+888,2612082.487,1269302.689,271.163,204888.0
13,204+891,2612084.959,1269304.388,271.207,204891.0
15,204+894,2612087.469,1269306.031,271.25,204894.0
17,204+897,2612090.014,1269307.619,271.294,204897.0
19,204+900,2612092.594,1269309.15,271.337,204900.0
21,204+903,2612095.208,1269310.623,271.381,204903.0
23,204+906,2612097.853,1269312.038,271.424,204906.0
25,204+909,2612100.529,1269313.394,271.468,204909.0
27,204+912,2612103.234,1269314.69,271.511,204912.0
29,204+915,2612105.968,1269315.927,271.555,204915.0
31,204+918,2612108.728,1269317.102,271.598,204918.0
33,204+921,2612111.513,1269318.216,271.642,204921.0
35,204+924,2612114.323,1269319.268,271.685,204924.0
37,204+927,2612117.155,1269320.257,271.729,204927.0
39,204+927.637,2612117.759,1269320.459,271.738,204927.637
41,204+930,2612120.008,1269321.183,271.771,204930.0
43,204+933,2612122.881,1269322.046,271.811,204933.0
45,204+936,2612125.773,1269322.845,271.847,204936.0
47,204+939,2612128.682,1269323.58,271.879,204939.0
49,204+942,2612131.606,1269324.25,271.909,204942.0
51,204+945,2612134.544,1269324.855,271.935,204945.0
53,204+948,2612137.495,1269325.395,271.958,204948.0
55,204+951,2612140.457,1269325.869,271.978,204951.0
57,204+954,2612143.429,1269326.277,271.994,204954.0
59,204+957,2612146.409,1269326.62,272.007,204957.0
61,204+960,2612149.397,1269326.896,272.017,204960.0
63,204+963,2612152.389,1269327.107,272.023,204963.0
65,204+966,2612155.386,1269327.251,272.027,204966.0
67,204+969,2612158.385,1269327.328,272.027,204969.0
69,204+972,2612161.384,1269327.339,272.023,204972.0
71,204+975,2612164.384,1269327.284,272.017,204975.0
73,204+978,2612167.381,1269327.162,272.007,204978.0
75,204+981,2612170.375,1269326.973,271.994,204981.0
77,204+984,2612173.364,1269326.718,271.978,204984.0
79,204+987,2612176.347,1269326.398,271.958,204987.0
81,204+990,2612179.322,1269326.011,271.935,204990.0
83,204+993,2612182.288,1269325.558,271.909,204993.0
85,204+996,2612185.242,1269325.04,271.879,204996.0
87,204+999,2612188.185,1269324.456,271.847,204999.0
89,205+002,2612191.114,1269323.808,271.811,205002.0
91,205+005,2612194.028,1269323.094,271.771,205005.0
93,205+008,2612196.925,1269322.316,271.729,205008.0
95,205+011,2612199.805,1269321.474,271.683,205011.0
97,205+014,2612202.665,1269320.569,271.634,205014.0
99,205+014.027,2612202.69,1269320.561,271.633,205014.027
101,205+017,2612205.596,1269319.621,271.581,205017.0
103,205+020,2612208.434,1269318.648,271.526,205020.0
105,205+023,2612211.249,1269317.614,271.467,205023.0
107,205+026,2612214.042,1269316.519,271.404,205026.0
109,205+029,2612216.811,1269315.364,271.339,205029.0
111,205+032,2612219.555,1269314.152,271.27,205032.0
113,205+035,2612222.273,1269312.882,271.198,205035.0
115,205+038,2612224.964,1269311.556,271.123,205038.0
117,205+041,2612227.628,1269310.175,271.044,205041.0
