	Xcoord	Ycoord	Zcoord	Felstiefe	DTM	Felsoberflache	delta_ZCoordFelstiefe
0	2612071.5482	1269294.1221	270.962	17.84441	253.524	236.0	253.11759
1	2612202.6903	1269320.5606	271.633	14.52731	251.048	236.0	257.10569
2	2612203.1649	1269320.4035	271.625	14.52731	251.048	236.0	257.09769
3	2612203.6388	1269320.2447	271.616	14.52731	251.048	236.0	257.08869
4	2612204.1122	1269320.0841	271.607	14.52731	251.048	236.0	257.07969
5	2612204.585	1269319.9218	271.599	14.52731	254.2842	236.0	257.07169
6	2612205.0572	1269319.7577	271.59	14.52731	254.2674	236.0	257.06269
7	2612205.5288	1269319.592	271.581	14.52731	254.2674	236.0	257.05369
8	2612205.9998	1269319.4246	271.572	14.52731	254.2674	236.0	257.04469
9	2612206.4702	1269319.2555	271.563	14.52731	254.2674	236.0	257.03569
10	2612206.94	1269319.0848	271.553	14.52731	254.2674	236.0	257.02569
11	2612207.4092	1269318.9123	271.544	14.52731	254.2674	236.0	257.01669
12	2612207.8777	1269318.7383	271.535	14.52731	254.2674	236.0	257.00769
13	2612208.3457	1269318.5626	271.525	18.76743	254.2674	235.5	252.75757
14	2612208.813	1269318.3852	271.516	18.76743	254.2674	235.5	252.74857
15	2612209.2798	1269318.2063	271.506	18.76743	254.2674	235.5	252.73857
16	2612209.7459	1269318.0257	271.496	18.76743	254.2674	235.5	252.72857
17	2612210.2114	1269317.8435	271.486	18.76743	254.3974	235.5	252.71857
18	2612210.6762	1269317.6598	271.476	18.76743	254.3974	235.5	252.70857
19	2612211.1405	1269317.4744	271.466	18.76743	254.3974	235.5	252.69857
20	2612211.6041	1269317.2875	271.456	18.76743	254.3974	235.5	252.68857
21	2612212.0671	1269317.0991	271.446	18.76743	254.3974	235.5	252.67857
22	2612212.5294	1269316.9091	271.436	18.76743	254.3974	235.5	252.66857
23	2612212.9911	1269316.7175	271.425	18.76743	254.3974	235.5	252.65757
24	2612215.748	1269315.5365	271.361	18.76743	254.1948	235.5	252.59357
25	2612216.2052	1269315.3345	271.35	18.76743	254.1948	235.5	252.58257
26	2612216.6618	1269315.131	271.338	18.76743	254.1948	235.5	252.57057
27	2612217.1177	1269314.9261	271.327	18.76743	254.2604	235.5	252.55957
28	2612218.0276	1269314.5119	271.305	18.19478	254.2604	236.0	253.11022
29	2612218.4816	1269314.3027	271.293	18.19478	254.2604	236.0	253.09822
30	2612218.9349	1269314.0921	271.281	18.19478	254.2604	236.0	253.08622
31	2612219.3876	1269313.88	271.27	18.19478	254.2604	236.0	253.07522
32	2612219.8396	1269313.6666	271.258	18.19478	254.2604	236.0	253.06322
33	2612220.7417	1269313.2357	271.234	18.19478	254.1907	236.0	253.03922
34	2612221.1917	1269313.0182	271.222	18.19478	254.1907	236.0	253.02722
35	2612221.6411	1269312.7993	271.21	18.19478	254.1907	236.0	253.01522
36	2612222.0899	1269312.5791	271.198	18.19478	254.1907	236.0	253.00322
37	2612222.538	1269312.3576	271.185	18.19478	254.1907	236.0	252.99022
38	2612222.9854	1269312.1348	271.173	18.19478	254.1907	236.0	252.97822
39	2612223.4322	1269311.9106	271.16	18.19478	254.1907	236.0	252.96522
40	2612223.8784	1269311.6851	271.148	18.19478	254.1907	236.0	252.95322
41	2612224.3238	1269311.4584	271.135	18.19478	254.1907	236.0	252.94022
42	2612224.7687	1269311.2304	271.122	18.19478	254.1907	236.0	252.92722
43	2612225.2128	1269311.0011	271.109	18.19478	254.1214	236.0	252.91422
44	2612225.6564	1269310.7705	271.097	18.19478	254.1214	236.0	252.90222
45	2612226.0992	1269310.5387	271.083	18.19478	254.1214	236.0	252.88822
46	2612226.5414	1269310.3056	271.07	18.19478	254.1214	236.0	252.87522
47	2612226.983	1269310.0714	271.057	18.19478	254.1214	236.0	252.86222
48	2612227.4239	1269309.8359	271.044	18.19478	254.1555	236.0	252.84922
49	2612227.8642	1269309.5991	271.03	18.19478	254.1555	236.0	252.83522
50	2612228.3038	1269309.3612	271.017	18.19478	254.1555	236.0	252.82222
51	2612228.7427	1269309.1221	271.003	18.19478	254.1555	236.0	252.80822
52	2612229.181	1269308.8818	270.99	18.19478	254.1555	236.0	252.79522
53	2612229.6187	1269308.6403	270.976	18.19478	254.1555	236.0	252.78122
54	2612230.0557	1269308.3976	270.962	18.19478	254.0603	236.0	252.76722
55	2612230.4921	1269308.1538	270.948	18.19478	254.0603	236.0	252.75322
56	2612230.9278	1269307.9089	270.934	18.19478	254.0603	236.0	252.73922
57	2612231.3629	1269307.6628	270.92	18.19478	254.0603	236.0	252.72522
58	2612231.7974	1269307.4155	270.906	18.19478	254.0603	236.0	252.71122
59	2612232.2312	1269307.1672	270.891	18.19478	254.0603	236.0	252.69622
60	2612232.6643	1269306.9177	270.877	18.19478	254.0603	236.0	252.68222
61	2612233.0969	1269306.6672	270.862	18.19478	254.0603	236.0	252.66722
62	2612233.5288	1269306.4155	270.848	18.19478	254.0603	236.0	252.65322
63	2612233.96	1269306.1628	270.833	18.19478	254.0603	236.0	252.63822
64	2612234.3907	1269305.9089	270.818	18.19478	254.0603	236.0	252.62322
65	2612234.8207	1269305.6541	270.803	18.19478	254.0603	236.0	252.60822
66	2612235.25	1269305.3981	270.788	18.19478	254.0751	236.0	252.59322
67	2612235.6788	1269305.1411	270.773	18.19478	254.0751	236.0	252.57822
68	2612236.1069	1269304.8831	270.758	18.19478	249.5718	236.0	252.56322
69	2612236.5344	1269304.624	270.743	18.19478	249.5718	236.0	252.54822
70	2612236.9613	1269304.364	270.728	18.19478	249.5718	236.0	252.53322
71	2612237.3875	1269304.1029	270.712	18.19478	249.5718	236.0	252.51722
72	2612237.8132	1269303.8408	270.697	18.19478	249.5718	236.0	252.50222
73	2612238.2382	1269303.5777	270.681	17.90434	249.5718	236.0	252.77666
74	2612238.6626	1269303.3136	270.665	17.90434	249.5718	236.0	252.76066
75	2612239.0864	1269303.0485	270.65	17.90434	249.5718	236.0	252.74566
76	2612239.5096	1269302.7825	270.634	17.90434	249.5718	236.0	252.72966
77	2612239.9322	1269302.5155	270.618	17.90434	249.5718	236.0	252.71366
78	2612240.3542	1269302.2476	270.602	17.90434	251.5019	236.0	252.69766
79	2612240.7756	1269301.9787	270.586	17.90434	251.5019	236.0	252.68166
80	2612241.1964	1269301.7089	270.569	17.90434	251.5019	236.0	252.66466
81	2612241.6166	1269301.4382	270.553	17.90434	251.5019	236.0	252.64866
82	2612242.0362	1269301.1665	270.537	17.90434	251.5019	236.0	252.63266
83	2612242.4552	1269300.894	270.52	17.90434	251.5019	236.0	252.61566
84	2612242.8737	1269300.6205	270.504	17.90434	251.5019	236.0	252.59966
85	2612243.2915	1269300.3462	270.487	17.90434	251.5019	236.0	252.58266
86	2612243.7088	1269300.0709	270.47	17.90434	251.5019	236.0	252.56566
87	2612244.1255	1269299.7948	270.453	17.90434	249.716	236.0	252.54866
88	2612244.5416	1269299.5178	270.436	17.90434	249.716	236.0	252.53166
89	2612244.9571	1269299.24	270.419	17.90434	249.716	236.0	252.51466
90	2612245.3721	1269298.9613	270.402	17.90434	249.9201	236.0	252.49766
91	2612245.7865	1269298.6818	270.385	17.90434	249.9201	236.0	252.48066
92	2612246.2004	1269298.4015	270.367	17.90434	249.9201	236.0	252.46266
93	2612246.6137	1269298.1203	270.35	17.90434	249.9201	236.0	252.44566
