"Point","Type","Station","Northing","Easting","Elevation"
"","","","","",""
"0","PC","204+874.1","1269294.1221","2612071.5482","270.956"
"","","","","",""
"204+875","PC","204+875","1269294.7104","2612072.2293","270.969"
"","","","","",""
"204+880:1","PC","204+880","1269297.8953","2612076.0833","271.041"
"","","","","",""
"204+885:1","PC","204+885","1269300.9358","2612080.0523","271.114"
"","","","","",""
"204+890:1","PC","204+890","1269303.8276","2612084.1308","271.187"
"","","","","",""
"204+895","PC","204+895","1269306.5669","2612088.3134","271.259"
"","","","","",""
"204+900:3","PC","204+900","1269309.1498","2612092.5942","271.332"
"","","","","",""
"204+905","PC","204+905","1269311.5729","2612096.9675","271.404"
"","","","","",""
"204+910:1","PC","204+910","1269313.8329","2612101.4273","271.476"
"","","","","",""
"204+915:1","PC","204+915","1269315.9266","2612105.9675","271.549"
"","","","","",""
"204+920:1","PC","204+920","1269317.8513","2612110.5819","271.622"
"","","","","",""
"204+925","PC","204+925","1269319.6042","2612115.2643","271.694"
"","","","","",""
"BC1:1","PC","204+927.647","1269320.4619","2612117.7684","271.732"
"","","","","",""
"204+930:2","PC","204+930","1269321.1831","2612120.0082","271.766"
"","","","","",""
"204+935","PC","204+935","1269322.5857","2612124.8071","271.830"
"","","","","",""
"204+940:1","PC","204+940","1269323.8101","2612129.6546","271.886"
"","","","","",""
"204+945:1","PC","204+945","1269324.8547","2612134.5439","271.932"
"","","","","",""
"204+950:1","PC","204+950","1269325.7181","2612139.4685","271.969"
"","","","","",""
"204+955","PC","204+955","1269326.3990","2612144.4217","271.998"
"","","","","",""
"204+960:2","PC","204+960","1269326.8965","2612149.3966","272.017"
"","","","","",""
"204+965","PC","204+965","1269327.2100","2612154.3864","272.027"
"","","","","",""
"204+970:1","PC","204+970","1269327.3391","2612159.3845","272.029"
"","","","","",""
"204+975:1","PC","204+975","1269327.2835","2612164.3839","272.021"
"","","","","",""
"204+980:1","PC","204+980","1269327.0433","2612169.3778","272.004"
"","","","","",""
"204+985","PC","204+985","1269326.6189","2612174.3595","271.978"
"","","","","",""
"204+990:2","PC","204+990","1269326.0108","2612179.3221","271.943"
"","","","","",""
"204+995","PC","204+995","1269325.2199","2612184.2589","271.899"
"","","","","",""
"205+000:2","PC","205+000","1269324.2472","2612189.1631","271.846"
"","","","","",""
"205+005:1","PC","205+005","1269323.0941","2612194.0280","271.784"
"","","","","",""
"205+010:1","PC","205+010","1269321.7622","2612198.8470","271.713"
"","","","","",""
"2","CS","205+014.027","1269320.5606","2612202.6903","271.649"
"","","","","",""
"205+015","SP","205+015","1269320.2530","2612203.6139","271.633"
"","","","","",""
"205+020:2","SP","205+020","1269318.5713","2612208.3223","271.544"
"","","","","",""
"205+025","SP","205+025","1269316.7266","2612212.9693","271.446"
"","","","","",""
"205+030:1","SP","205+030","1269314.7289","2612217.5527","271.339"
"","","","","",""
"205+035:1","SP","205+035","1269312.5884","2612222.0711","271.223"
"","","","","",""
"205+040:1","SP","205+040","1269310.3148","2612226.5241","271.097"
"","","","","",""
"205+045","SP","205+045","1269307.9178","2612230.9119","270.963"
"","","","","",""
"205+050:2","SP","205+050","1269305.4068","2612235.2355","270.820"
"","","","","",""
"205+055","SP","205+055","1269302.7908","2612239.4964","270.668"
"","","","","",""
"205+060:1","SP","205+060","1269300.0788","2612243.6969","270.506"
"","","","","",""
"205+065:1","SP","205+065","1269297.2719","2612247.8502","270.336"
"","","","","",""
"104","SC","205+065.013","1269297.2719","2612247.8502","270.335"
"","","","","",""
"205+070:1","PC","205+070","1269294.3994","2612251.9268","270.156"
"","","","","",""
"205+075","PC","205+075","1269291.4414","2612255.9579","269.968"
"","","","","",""
"205+080:2","PC","205+080","1269288.4065","2612259.9314","269.771"
"","","","","",""
