easting,northing,site_name,tmp152085687114
2610615.655,1268897.46,,235.5
2610765.151,1268894.622,,235
2610919.605,1268891.69,,237
2610920.798,1268891.667,,237
2610923.797,1268891.609,,237
2610926.797,1268891.552,,237
2610929.796,1268891.494,,237
2610932.796,1268891.436,,237
2610935.795,1268891.378,,237
2610938.794,1268891.321,,237
2610941.794,1268891.263,,237
2610944.793,1268891.205,,237
2610947.793,1268891.148,,237
2610950.792,1268891.09,,237
2610953.792,1268891.032,,237
2610956.791,1268890.974,,237
2610959.791,1268890.917,,237
2610962.79,1268890.859,,237
2610965.789,1268890.801,,237
2610968.789,1268890.743,,237
2610971.788,1268890.686,,237
2610974.788,1268890.628,,237
2610977.787,1268890.57,,237
2610980.787,1268890.512,,237
2610983.786,1268890.455,,237
2610986.786,1268890.397,,237
2610989.785,1268890.339,,237
2610992.784,1268890.282,,237
2610995.784,1268890.224,,237
2610998.783,1268890.166,,237
2611001.783,1268890.108,,237
2611004.782,1268890.051,,237
2611007.782,1268889.993,,237
2611010.781,1268889.935,,237
2611013.781,1268889.878,,238
2611016.78,1268889.82,,238
2611019.779,1268889.762,,238
2611022.779,1268889.704,,238
2611025.778,1268889.647,,238
2611028.778,1268889.589,,238
2611031.777,1268889.531,,238
2611034.777,1268889.473,,238
2611037.776,1268889.416,,238
2611040.776,1268889.358,,238
2611043.775,1268889.3,,238
2611046.774,1268889.242,,238
2611049.774,1268889.185,,238
2611052.773,1268889.127,,238
2611055.773,1268889.069,,238
2611058.772,1268889.012,,238
2611061.772,1268888.954,,238
2611064.771,1268888.896,,238
2611067.771,1268888.838,,238
2611070.77,1268888.781,,238
2611073.77,1268888.723,,238
2611076.769,1268888.665,,238
2611079.768,1268888.608,,238
2611082.768,1268888.55,,238
2611085.767,1268888.492,,238
2611088.767,1268888.434,,238
2611091.766,1268888.377,,238
2611094.766,1268888.319,,238
2611097.765,1268888.261,,238
2611100.764,1268888.204,,238
2611103.764,1268888.146,,238
2611106.763,1268888.088,,238
2611109.763,1268888.03,,238
2611112.762,1268887.973,,238
2611115.762,1268887.915,,238
2611118.761,1268887.857,,238
2611121.761,1268887.799,,238
2611124.76,1268887.742,,238
2611127.76,1268887.684,,238
2611130.759,1268887.626,,238
2611133.758,1268887.568,,238
2611136.758,1268887.511,,238
2611139.757,1268887.453,,238
2611142.757,1268887.395,,238
2611145.756,1268887.338,,238
2611148.756,1268887.28,,238
2611151.755,1268887.222,,238
2611154.723,1268887.165,,238
2611157.721,1268887.063,,238
2611160.72,1268886.96,,238
2611163.718,1268886.856,,238
2611166.716,1268886.751,,238
2611169.714,1268886.643,,238
2611172.712,1268886.532,,238
2611175.71,1268886.418,,238
2611178.707,1268886.3,,238.155908949174
2611181.705,1268886.177,,238.155908949174
2611184.702,1268886.049,,238.155908949174
2611187.699,1268885.915,,238.155908949174
2611190.696,1268885.775,,238.155908949174
2611193.692,1268885.628,,238.155908949174
2611196.688,1268885.473,,238.155908949174
2611199.684,1268885.311,,238.134879956838
2611201.498,1268885.208,,238.134879956838
2611202.702,1268885.102,,238.134879956838
2611205.69,1268884.834,,238.134879956838
2611208.677,1268884.556,,238.134879956838
2611211.663,1268884.27,,238.134879956838
2611214.649,1268883.974,,238.134879956838
2611217.053,1268883.73,,238.134879956838
2611217.618,1268883.602,,238.134879956838
2611220.542,1268882.93,,238
2611223.464,1268882.252,,238
2611226.384,1268881.566,,238.125
2611229.304,1268880.873,,238.125
2611232.221,1268880.176,,238.125
2611235.138,1268879.473,,238.125
2611238.054,1268878.767,,238.125
2611240.968,1268878.057,,238.111111111111
2611243.883,1268877.345,,238.111111111111
2611246.796,1268876.632,,238.111111111111
