easting,northing,site_name,tmp1520856868982
2610615.655,1268897.46,,256.7231
2610765.151,1268894.622,,256.3957
2610919.605,1268891.69,,244.8238
2610920.798,1268891.667,,244.7656
2610923.797,1268891.609,,244.7656
2610926.797,1268891.552,,244.7222
2610929.796,1268891.494,,244.7222
2610932.796,1268891.436,,244.7301
2610935.795,1268891.378,,244.8561
2610938.794,1268891.321,,244.8561
2610941.794,1268891.263,,244.8095
2610944.793,1268891.205,,244.8095
2610947.793,1268891.148,,244.7883
2610950.792,1268891.09,,244.7806
2610953.792,1268891.032,,244.7806
2610956.791,1268890.974,,244.8449
2610959.791,1268890.917,,244.8449
2610962.79,1268890.859,,244.8459
2610965.789,1268890.801,,244.7616
2610968.789,1268890.743,,244.7616
2610971.788,1268890.686,,244.8169
2610974.788,1268890.628,,244.8169
2610977.787,1268890.57,,244.9339
2610980.787,1268890.512,,245.0508
2610983.786,1268890.455,,245.0508
2610986.786,1268890.397,,244.8257
2610989.785,1268890.339,,244.8257
2610992.784,1268890.282,,245.0323
2610995.784,1268890.224,,244.8044
2610998.783,1268890.166,,244.8044
2611001.783,1268890.108,,245.1069
2611004.782,1268890.051,,245.1069
2611007.782,1268889.993,,245.0095
2611010.781,1268889.935,,244.9627
2611013.781,1268889.878,,244.9627
2611016.78,1268889.82,,244.8862
2611019.779,1268889.762,,244.8862
2611022.779,1268889.704,,244.7667
2611025.778,1268889.647,,244.8016
2611028.778,1268889.589,,244.8016
2611031.777,1268889.531,,244.9703
2611034.777,1268889.473,,244.9703
2611037.776,1268889.416,,244.8191
2611040.776,1268889.358,,244.7744
2611043.775,1268889.3,,244.7744
2611046.774,1268889.242,,244.7699
2611049.774,1268889.185,,244.7699
2611052.773,1268889.127,,244.7654
2611055.773,1268889.069,,244.7705
2611058.772,1268889.012,,244.7705
2611061.772,1268888.954,,244.7684
2611064.771,1268888.896,,244.7684
2611067.771,1268888.838,,244.7663
2611070.77,1268888.781,,244.7642
2611073.77,1268888.723,,244.7642
2611076.769,1268888.665,,244.7363
2611079.768,1268888.608,,244.7363
2611082.768,1268888.55,,244.7954
2611085.767,1268888.492,,244.8947
2611088.767,1268888.434,,244.8947
2611091.766,1268888.377,,244.8711
2611094.766,1268888.319,,244.8711
2611097.765,1268888.261,,244.8047
2611100.764,1268888.204,,244.8173
2611103.764,1268888.146,,244.8173
2611106.763,1268888.088,,244.8299
2611109.763,1268888.03,,244.8299
2611112.762,1268887.973,,244.8426
2611115.762,1268887.915,,244.851
2611118.761,1268887.857,,244.851
2611121.761,1268887.799,,247.8969
2611124.76,1268887.742,,247.8969
2611127.76,1268887.684,,247.8318
2611130.759,1268887.626,,247.8724
2611133.758,1268887.568,,247.8724
2611136.758,1268887.511,,247.9146
2611139.757,1268887.453,,247.9146
2611142.757,1268887.395,,247.9567
2611145.756,1268887.338,,248.0323
2611148.756,1268887.28,,248.0323
2611151.755,1268887.222,,260.8503
2611154.723,1268887.165,,260.8503
2611157.721,1268887.063,,260.669
2611160.72,1268886.96,,260.4882
2611163.718,1268886.856,,260.4882
2611166.716,1268886.751,,260.313
2611169.714,1268886.643,,260.313
2611172.712,1268886.532,,260.1665
2611175.71,1268886.418,,260.0374
