,WBS,WorkType,ExcavationType,StationFrom,StationTo,PayItem,Quantity,Unit
0,111a,UEX,MUL,205+490,205+520,SC5,3604.532,m3
1,111a,UEX,MUL,205+490,205+520,MC2,4685.891,m3
2,111b,UEX,TBM,205+520,208+620,BC1,23243.83,m3
3,111b,UEX,TBM,205+520,208+620,BC2,74381.693,m3
4,111b,UEX,TBM,205+520,208+620,BC3,313916.176,m3
5,111b,UEX,TBM,205+520,208+620,SCT,411541.699,m3
6,111b,UEX,TBM,205+520,208+620,MC5,126913.181,m3
7,111b,UEX,TBM,205+520,208+620,MC3,470874.264,m3
8,111c,UEX,MUL,208+620,208+740,SC5,14405.509,m3
9,111c,UEX,MUL,208+620,208+740,MC2,18727.162,m3
