,Easting,Northing,Elevation,DTM,Rocksurface,delta_rocksurface_tunnelaxis,BoreClass
0,2612071.5482,1269294.1221,270.962,253.524,236.0,-34.962,BC1
1,2612072.9907,1269295.3587,270.989,253.6122,236.0,-34.989,BC1
2,2612075.3031,1269297.2698,271.033,253.1596,236.0,-35.033,BC1
3,2612077.6574,1269299.1291,271.076,253.1596,235.815293683,-35.260706317,BC1
4,2612080.0523,1269300.9358,271.12,252.9344,235.815293683,-35.304706317,BC1
5,2612082.4866,1269302.689,271.163,252.9344,235.815293683,-35.347706317,BC1
6,2612084.9592,1269304.3878,271.207,252.9344,235.815293683,-35.391706317,BC1
7,2612087.4688,1269306.0314,271.25,252.574,235.815293683,-35.434706317,BC1
8,2612090.0142,1269307.619,271.294,252.0129,235.815293683,-35.478706317,BC1
9,2612092.5942,1269309.1498,271.337,252.0129,235.707125104,-35.6298748964,BC1
10,2612095.2075,1269310.6231,271.381,251.8054,235.707125104,-35.6738748964,BC1
11,2612097.8528,1269312.0381,271.424,251.8054,235.707125104,-35.7168748964,BC1
12,2612100.5287,1269313.3941,271.468,251.6312,235.707125104,-35.7608748964,BC1
13,2612103.2341,1269314.6905,271.511,251.6312,235.707125104,-35.8038748964,BC1
14,2612105.9675,1269315.9266,271.555,251.1492,235.707125104,-35.8478748964,BC1
15,2612108.7277,1269317.1019,271.598,251.1492,235.707125104,-35.8908748964,BC1
16,2612111.5132,1269318.2157,271.642,251.1567,235.707125104,-35.9348748964,BC1
17,2612114.3227,1269319.2675,271.685,251.1567,236.0,-35.685,BC1
18,2612117.1548,1269320.2568,271.729,250.6956,236.0,-35.729,BC1
19,2612117.7589,1269320.4587,271.738,250.6956,236.0,-35.738,BC1
20,2612120.0082,1269321.1831,271.771,250.6664,236.0,-35.771,BC1
21,2612122.8813,1269322.0459,271.811,250.6664,236.0,-35.811,BC1
22,2612125.7729,1269322.8449,271.847,250.6372,236.0,-35.847,BC1
23,2612128.6815,1269323.5796,271.879,250.6372,236.0,-35.879,BC1
24,2612131.6057,1269324.2496,271.909,250.638,236.0,-35.909,BC1
25,2612134.5439,1269324.8547,271.935,250.638,235.707088459,-36.2279115407,BC1
26,2612137.4949,1269325.3946,271.958,248.9911,235.707088459,-36.2509115407,BC1
27,2612140.4571,1269325.8689,271.978,249.5887,235.707088459,-36.2709115407,BC1
28,2612143.4291,1269326.2774,271.994,249.5887,235.707088459,-36.2869115407,BC1
29,2612146.4094,1269326.6201,272.007,250.4562,235.707088459,-36.2999115407,BC1
