easting,northing,site_name,tmp1492277655274
2612071.5482,1269294.1221,,236
2612072.9907,1269295.3587,,236
2612075.3031,1269297.2698,,236
2612077.6574,1269299.1291,,235.815293683044
2612080.0523,1269300.9358,,235.815293683044
2612082.4866,1269302.689,,235.815293683044
2612084.9592,1269304.3878,,235.815293683044
2612087.4688,1269306.0314,,235.815293683044
2612090.0142,1269307.619,,235.815293683044
2612092.5942,1269309.1498,,235.707125103563
2612095.2075,1269310.6231,,235.707125103563
2612097.8528,1269312.0381,,235.707125103563
2612100.5287,1269313.3941,,235.707125103563
2612103.2341,1269314.6905,,235.707125103563
2612105.9675,1269315.9266,,235.707125103563
2612108.7277,1269317.1019,,235.707125103563
2612111.5132,1269318.2157,,235.707125103563
2612114.3227,1269319.2675,,236
2612117.1548,1269320.2568,,236
2612117.7589,1269320.4587,,236
2612120.0082,1269321.1831,,236
2612122.8813,1269322.0459,,236
2612125.7729,1269322.8449,,236
2612128.6815,1269323.5796,,236
2612131.6057,1269324.2496,,236
2612134.5439,1269324.8547,,235.707088459285
2612137.4949,1269325.3946,,235.707088459285
2612140.4571,1269325.8689,,235.707088459285
2612143.4291,1269326.2774,,235.707088459285
2612146.4094,1269326.6201,,235.707088459285
2612149.3966,1269326.8965,,235.707088459285
2612152.3891,1269327.1068,,235.707088459285
2612155.3856,1269327.2506,,235.666666666667
2612158.3846,1269327.3281,,235.666666666667
2612161.3845,1269327.339,,235.666666666667
2612164.3839,1269327.2835,,235.666666666667
2612167.3814,1269327.1615,,235.666666666667
2612170.3754,1269326.9731,,235.666666666667
2612173.3645,1269326.7185,,235.666666666667
2612176.3472,1269326.3977,,236
2612179.3221,1269326.0108,,236
2612182.2877,1269325.5581,,236
2612185.2425,1269325.0399,,236
2612188.1852,1269324.4562,,236
2612191.1141,1269323.8075,,236
2612194.028,1269323.0941,,236
2612196.9253,1269322.3163,,236
2612199.8047,1269321.4745,,236
2612202.6648,1269320.569,,236
2612202.6903,1269320.5606,,236
2612205.5957,1269319.6207,,236
2612208.4335,1269318.6479,,235.5
2612211.2494,1269317.6135,,235.5
2612214.0425,1269316.5186,,235.5
2612216.8114,1269315.3643,,235.5
2612219.5554,1269314.1517,,236
2612222.2733,1269312.8819,,236
2612224.9643,1269311.5559,,236
2612227.6275,1269310.1749,,236
2612230.262,1269308.7399,,236
2612232.8671,1269307.2522,,236
2612235.4419,1269305.7128,,236
2612237.9859,1269304.1228,,236
2612240.4982,1269302.4833,,236
2612242.9784,1269300.7956,,236
2612245.4258,1269299.0607,,236
2612247.8502,1269297.2719,,235.5
2612250.2986,1269295.5607,,235.5
2612252.7376,1269293.814,,235.5
2612255.1563,1269292.0392,,235.5
2612257.5543,1269290.2366,,235.5
2612259.9314,1269288.4065,,236
2612262.2872,1269286.5491,,236
2612264.6214,1269284.6646,,236
2612266.9338,1269282.7533,,236
2612269.2239,1269280.8155,,236
2612271.4915,1269278.8513,,236
2612273.7363,1269276.8611,,235.5
2612275.958,1269274.8452,,235.5
2612278.1562,1269272.8038,,235.5
2612280.3308,1269270.7371,,236
2612282.4814,1269268.6455,,236
2612284.6077,1269266.5292,,236
2612286.7095,1269264.3885,,236
2612288.7864,1269262.2237,,236
2612290.8382,1269260.0351,,236
2612292.8646,1269257.8229,,236
2612293.2297,1269257.4188,,236
2612294.8653,1269255.5875,,235.5
2612296.8401,1269253.3292,,235.5
2612298.7887,1269251.0483,,235.5
2612300.7109,1269248.745,,236
2612302.6064,1269246.4197,,236
2612304.4749,1269244.0726,,236
2612306.3162,1269241.7042,,236
2612308.1301,1269239.3147,,236
2612309.9163,1269236.9044,,236
2612311.6745,1269234.4737,,236
2612313.4046,1269232.0228,,236
2612315.1063,1269229.5521,,236
2612315.865,1269228.4306,,236
2612316.787,1269227.0617,,236
2612318.4418,1269224.5594,,236
2612320.0698,1269222.0395,,236
2612321.6723,1269219.5034,,236.142857142857
2612323.2505,1269216.9521,,236.142857142857
2612324.8057,1269214.3867,,236.142857142857
2612326.3393,1269211.8083,,236.142857142857
2612327.8526,1269209.218,,236.142857142857
2612329.347,1269206.6167,,236.142857142857
2612330.8239,1269204.0054,,236.142857142857
2612332.2847,1269201.3851,,236.142857142857
2612333.7308,1269198.7566,,236.142857142857
2612335.1636,1269196.1209,,236.142857142857
2612336.5846,1269193.4788,,236
2612337.9953,1269190.8312,,236
2612339.3971,1269188.1789,,236
2612340.7916,1269185.5226,,236
2612342.1801,1269182.8633,,236.184706316956
2612343.5643,1269180.2017,,236.184706316956
2612344.7703,1269177.8768,,236.184706316956
2612344.9482,1269177.54,,236.184706316956
2612346.3503,1269174.8878,,236.184706316956
2612347.754,1269172.2365,,236.2
2612349.1593,1269169.586,,236.2
2612349.2826,1269169.3536,,236.2
2612350.5662,1269166.9364,,236.2
2612351.9747,1269164.2875,,236.2
2612353.3848,1269161.6396,,236.2
2612354.7964,1269158.9925,,236.2
2612356.2097,1269156.3462,,236.2
2612357.6245,1269153.7008,,236.2
2612359.041,1269151.0562,,236.2
2612360.459,1269148.4125,,236.2
2612361.8786,1269145.7696,,236.2
2612363.2998,1269143.1276,,236.4
2612364.7225,1269140.4865,,236.4
2612366.1469,1269137.8462,,236.4
2612367.5728,1269135.2067,,236.4
2612369.0003,1269132.5681,,236.4
2612370.4295,1269129.9304,,236.4
2612371.8601,1269127.2935,,236.4
2612373.2924,1269124.6575,,236.4
2612374.7263,1269122.0223,,236.4
2612376.1617,1269119.388,,236.4
2612377.5987,1269116.7546,,236.4
2612379.0373,1269114.122,,236.4
2612380.4775,1269111.4903,,236.4
2612381.9192,1269108.8595,,236.460511255246
2612383.3625,1269106.2295,,236.460511255246
2612384.8074,1269103.6004,,236.585792724777
2612386.2539,1269100.9721,,236.585792724777
2612387.702,1269098.3447,,236.585792724777
2612389.1516,1269095.7182,,236.585792724777
2612390.6028,1269093.0926,,236.585792724777
2612392.0556,1269090.4678,,236.585792724777
2612393.51,1269087.8439,,236.575120192308
2612394.9659,1269085.2209,,236.575120192308
2612396.4234,1269082.5987,,236.575120192308
2612397.8825,1269079.9775,,236.575120192308
2612399.3432,1269077.3571,,236.575120192308
2612400.8054,1269074.7375,,236.575120192308
2612402.2692,1269072.1189,,236.575120192308
2612402.9719,1269070.8631,,236.575120192308
2612403.7346,1269069.5011,,236.575120192308
2612405.2015,1269066.8842,,236.72383319525
2612406.67,1269064.2682,,236.72383319525
2612408.1401,1269061.6531,,236.72383319525
2612409.6117,1269059.0389,,236.72383319525
2612411.0849,1269056.4255,,236.72383319525
2612412.5597,1269053.813,,236.72383319525
2612414.0361,1269051.2015,,236.72383319525
2612415.514,1269048.5908,,236.72383319525
2612416.9935,1269045.9809,,236.777777777778
2612418.4745,1269043.372,,236.777777777778
2612419.9571,1269040.764,,236.777777777778
2612421.4413,1269038.1568,,236.777777777778
2612422.9271,1269035.5506,,236.777777777778
2612424.4144,1269032.9452,,236.777777777778
2612425.9032,1269030.3407,,236.881150463513
2612426.3308,1269029.5935,,236.881150463513
2612427.3933,1269027.7369,,236.881150463513
2612428.8834,1269025.1332,,236.865120043162
