easting,northing,site_name,tmp1490047503330
2612071.5482,1269294.1221,,253.524
2612202.6903,1269320.5606,,251.048
2612203.1649,1269320.4035,,251.048
2612203.6388,1269320.2447,,251.048
2612204.1122,1269320.0841,,251.048
2612204.585,1269319.9218,,254.2842
2612205.0572,1269319.7577,,254.2674
2612205.5288,1269319.592,,254.2674
2612205.9998,1269319.4246,,254.2674
2612206.4702,1269319.2555,,254.2674
2612206.94,1269319.0848,,254.2674
2612207.4092,1269318.9123,,254.2674
2612207.8777,1269318.7383,,254.2674
2612208.3457,1269318.5626,,254.2674
2612208.813,1269318.3852,,254.2674
2612209.2798,1269318.2063,,254.2674
2612209.7459,1269318.0257,,254.2674
2612210.2114,1269317.8435,,254.3974
2612210.6762,1269317.6598,,254.3974
2612211.1405,1269317.4744,,254.3974
2612211.6041,1269317.2875,,254.3974
2612212.0671,1269317.0991,,254.3974
2612212.5294,1269316.9091,,254.3974
2612212.9911,1269316.7175,,254.3974
2612215.748,1269315.5365,,254.1948
2612216.2052,1269315.3345,,254.1948
2612216.6618,1269315.131,,254.1948
2612217.1177,1269314.9261,,254.2604
2612217.573,1269314.7197,,254.2604
2612218.0276,1269314.5119,,254.2604
2612218.4816,1269314.3027,,254.2604
2612218.9349,1269314.0921,,254.2604
2612219.3876,1269313.88,,254.2604
2612219.8396,1269313.6666,,254.2604
2612220.291,1269313.4518,,254.1907
2612220.7417,1269313.2357,,254.1907
2612221.1917,1269313.0182,,254.1907
2612221.6411,1269312.7993,,254.1907
2612222.0899,1269312.5791,,254.1907
2612222.538,1269312.3576,,254.1907
2612222.9854,1269312.1348,,254.1907
2612223.4322,1269311.9106,,254.1907
2612223.8784,1269311.6851,,254.1907
2612224.3238,1269311.4584,,254.1907
2612224.7687,1269311.2304,,254.1907
2612225.2128,1269311.0011,,254.1214
2612225.6564,1269310.7705,,254.1214
2612226.0992,1269310.5387,,254.1214
2612226.5414,1269310.3056,,254.1214
2612226.983,1269310.0714,,254.1214
2612227.4239,1269309.8359,,254.1555
2612227.8642,1269309.5991,,254.1555
2612228.3038,1269309.3612,,254.1555
2612228.7427,1269309.1221,,254.1555
