,A. Point Coordinates x,B. Point Coordinates y,C. Normal Vector x,D. Normal Vector y,E. Settlement [mm],F. Tangentenneigung,G. DC_Beta,H. DC_Settlement,I. DamageClass,z_0
0,2612350.5662,1269166.9364,2612315.2486,1269185.71583,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
1,2612350.5662,1269166.9364,2612316.13154,1269185.24635,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
2,2612350.5662,1269166.9364,2612317.01448,1269184.77686,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
3,2612350.5662,1269166.9364,2612317.89742,1269184.30738,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
4,2612350.5662,1269166.9364,2612318.78036,1269183.83789,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
5,2612350.5662,1269166.9364,2612319.6633,1269183.3684,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
6,2612350.5662,1269166.9364,2612320.54624,1269182.89892,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
7,2612350.5662,1269166.9364,2612321.42918,1269182.42943,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
8,2612350.5662,1269166.9364,2612322.31212,1269181.95995,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
9,2612350.5662,1269166.9364,2612323.19506,1269181.49046,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
10,2612350.5662,1269166.9364,2612324.078,1269181.02097,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
11,2612350.5662,1269166.9364,2612324.96094,1269180.55149,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
12,2612350.5662,1269166.9364,2612325.84388,1269180.082,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
13,2612350.5662,1269166.9364,2612326.72682,1269179.61252,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
14,2612350.5662,1269166.9364,2612327.60976,1269179.14303,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
15,2612350.5662,1269166.9364,2612328.4927,1269178.67355,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
16,2612350.5662,1269166.9364,2612329.37564,1269178.20406,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
17,2612350.5662,1269166.9364,2612330.25858,1269177.73457,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
18,2612350.5662,1269166.9364,2612331.14152,1269177.26509,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
19,2612350.5662,1269166.9364,2612332.02446,1269176.7956,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
20,2612350.5662,1269166.9364,2612332.9074,1269176.32612,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
21,2612350.5662,1269166.9364,2612333.79034,1269175.85663,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
22,2612350.5662,1269166.9364,2612334.67328,1269175.38714,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
23,2612350.5662,1269166.9364,2612335.55622,1269174.91766,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
24,2612350.5662,1269166.9364,2612336.43916,1269174.44817,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
25,2612350.5662,1269166.9364,2612337.3221,1269173.97869,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
26,2612350.5662,1269166.9364,2612338.20504,1269173.5092,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
27,2612350.5662,1269166.9364,2612339.08798,1269173.03972,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
28,2612350.5662,1269166.9364,2612339.97092,1269172.57023,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
29,2612350.5662,1269166.9364,2612340.85386,1269172.10074,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
30,2612350.5662,1269166.9364,2612341.7368,1269171.63126,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
31,2612350.5662,1269166.9364,2612342.61974,1269171.16177,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
32,2612350.5662,1269166.9364,2612343.50268,1269170.69229,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
33,2612350.5662,1269166.9364,2612344.38562,1269170.2228,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
34,2612350.5662,1269166.9364,2612345.26856,1269169.75331,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
35,2612350.5662,1269166.9364,2612346.1515,1269169.28383,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
36,2612350.5662,1269166.9364,2612347.03444,1269168.81434,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
37,2612350.5662,1269166.9364,2612347.91738,1269168.34486,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
38,2612350.5662,1269166.9364,2612348.80032,1269167.87537,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
39,2612350.5662,1269166.9364,2612349.68326,1269167.40589,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
40,2612350.5662,1269166.9364,2612350.5662,1269166.9364,-588361.358898,-588.361358898,DC3,DC3,DC3,0.00150000000002
41,2612350.5662,1269166.9364,2612351.44914,1269166.46691,-0.0,588.361358898,DC3,DC1,DC3,0.00150000000002
42,2612350.5662,1269166.9364,2612352.33208,1269165.99743,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
43,2612350.5662,1269166.9364,2612353.21502,1269165.52794,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
44,2612350.5662,1269166.9364,2612354.09796,1269165.05846,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
45,2612350.5662,1269166.9364,2612354.9809,1269164.58897,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
46,2612350.5662,1269166.9364,2612355.86384,1269164.11949,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
47,2612350.5662,1269166.9364,2612356.74678,1269163.65,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
48,2612350.5662,1269166.9364,2612357.62972,1269163.18051,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
49,2612350.5662,1269166.9364,2612358.51266,1269162.71103,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
50,2612350.5662,1269166.9364,2612359.3956,1269162.24154,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
51,2612350.5662,1269166.9364,2612360.27854,1269161.77206,-0.0,0.0,DC1,DC1,DC1,0.00150000000002
