,Easting,Northing,Elevation,DTM,Rocksurface,delta_rocksurface_tunnelaxis,BoreClass,Area1,Area2,Distance,Area1_mean_dist,Area2_mean_dist
0,2612071.5482,1269294.1221,270.962,253.524,236.0,-34.962,BC1,100.0,100.0,1.90018809846,190.018809846,190.018809846
1,2612072.9907,1269295.3587,270.989,253.6122,236.0,-34.989,BC1,100.0,100.0,3.0002388189,300.02388189,300.02388189
2,2612075.3031,1269297.2698,271.033,253.1596,236.0,-35.033,BC1,100.0,100.0,3.00026231843,300.026231843,300.026231843
3,2612077.6574,1269299.1291,271.076,253.1596,235.815293683,-35.260706317,BC1,100.0,100.0,3.00027447097,300.027447097,300.027447097
4,2612080.0523,1269300.9358,271.12,252.9344,235.815293683,-35.304706317,BC1,100.0,100.0,3.0002292794,300.02292794,300.02292794
5,2612082.4866,1269302.689,271.163,252.9344,235.815293683,-35.347706317,BC1,100.0,100.0,3.00026802128,300.026802128,300.026802128
6,2612084.9592,1269304.3878,271.207,252.9344,235.815293683,-35.391706317,BC1,100.0,100.0,3.00022701144,300.022701144,300.022701144
7,2612087.4688,1269306.0314,271.25,252.574,235.815293683,-35.434706317,BC1,100.0,100.0,3.00024514345,300.024514345,300.024514345
8,2612090.0142,1269307.619,271.294,252.0129,235.815293683,-35.478706317,BC1,100.0,100.0,3.00026626162,300.026626162,300.026626162
9,2612092.5942,1269309.1498,271.337,252.0129,235.707125104,-35.6298748964,BC1,100.0,100.0,3.00031428005,300.031428005,300.031428005
10,2612095.2075,1269310.6231,271.381,251.8054,235.707125104,-35.6738748964,BC1,100.0,100.0,3.00028100183,300.028100183,300.028100183
11,2612097.8528,1269312.0381,271.424,251.8054,235.707125104,-35.7168748964,BC1,100.0,100.0,3.00018546269,300.018546269,300.018546269
12,2612100.5287,1269313.3941,271.468,251.6312,235.707125104,-35.7608748964,BC1,100.0,100.0,3.00028184002,300.028184002,300.028184002
13,2612103.2341,1269314.6905,271.511,251.6312,235.707125104,-35.8038748964,BC1,100.0,100.0,3.00022578626,300.022578626,300.022578626
14,2612105.9675,1269315.9266,271.555,251.1492,235.707125104,-35.8478748964,BC1,100.0,100.0,3.00031383892,300.031383892,300.031383892
15,2612108.7277,1269317.1019,271.598,251.1492,235.707125104,-35.8908748964,BC1,100.0,100.0,3.00024943781,300.024943781,300.024943781
16,2612111.5132,1269318.2157,271.642,251.1567,235.707125104,-35.9348748964,BC1,100.0,100.0,3.00023707228,300.023707228,300.023707228
17,2612114.3227,1269319.2675,271.685,251.1567,236.0,-35.685,BC1,100.0,100.0,3.00024014061,300.024014061,300.024014061
18,2612117.1548,1269320.2568,271.729,250.6956,236.0,-35.729,BC1,100.0,100.0,0.637009748409,63.7009748409,63.7009748409
19,2612117.7589,1269320.4587,271.738,250.6956,236.0,-35.738,BC1,100.0,100.0,2.36330168431,236.330168431,236.330168431
20,2612120.0082,1269321.1831,271.771,250.6664,236.0,-35.771,BC1,100.0,100.0,3.00012123919,300.012123919,300.012123919
21,2612122.8813,1269322.0459,271.811,250.6664,236.0,-35.811,BC1,100.0,100.0,3.00017458842,300.017458842,300.017458842
22,2612125.7729,1269322.8449,271.847,250.6372,236.0,-35.847,BC1,100.0,100.0,3.00012700542,300.012700542,300.012700542
23,2612128.6815,1269323.5796,271.879,250.6372,236.0,-35.879,BC1,100.0,100.0,3.00012427098,300.012427098,300.012427098
24,2612131.6057,1269324.2496,271.909,250.638,236.0,-35.909,BC1,100.0,100.0,2.99997354131,299.997354131,299.997354131
25,2612134.5439,1269324.8547,271.935,250.638,235.707088459,-36.2279115407,BC1,100.0,100.0,3.00007033406,300.007033406,300.007033406
26,2612137.4949,1269325.3946,271.958,248.9911,235.707088459,-36.2509115407,BC1,100.0,100.0,2.99999822206,299.999822206,299.999822206
27,2612140.4571,1269325.8689,271.978,249.5887,235.707088459,-36.2709115407,BC1,100.0,100.0,2.99998537459,299.998537459,299.998537459
28,2612143.4291,1269326.2774,271.994,249.5887,235.707088459,-36.2869115407,BC1,100.0,100.0,2.99996672974,299.996672974,299.996672974
29,2612146.4094,1269326.6201,272.007,250.4562,235.707088459,-36.2999115407,BC1,100.0,100.0,2.99997680024,299.997680024,299.997680024
30,2612149.3966,1269326.8965,272.017,250.4562,235.707088459,-36.3099115407,BC1,100.0,100.0,2.99988638755,299.988638755,299.988638755
31,2612152.3891,1269327.1068,272.023,250.596,235.707088459,-36.3159115407,BC1,100.0,100.0,2.99995111496,299.995111496,299.995111496
32,2612155.3856,1269327.2506,272.027,250.7349,235.666666667,-36.3603333333,BC1,100.0,100.0,3.00000120817,300.000120817,300.000120817
33,2612158.3846,1269327.3281,272.027,250.7349,235.666666667,-36.3603333333,BC1,100.0,100.0,5.99947411425,599.947411425,599.947411425
34,2612164.3839,1269327.2835,272.017,250.7949,235.666666667,-36.3503333333,BC1,100.0,100.0,2.99999837505,299.999837505,299.999837505
35,2612167.3814,1269327.1615,272.007,250.8807,235.666666667,-36.3403333333,BC1,100.0,100.0,2.99994992619,299.994992619,299.994992619
36,2612170.3754,1269326.9731,271.994,250.9536,235.666666667,-36.3273333333,BC1,100.0,100.0,2.99996599517,299.996599517,299.996599517
37,2612173.3645,1269326.7185,271.978,250.9536,235.666666667,-36.3113333333,BC1,100.0,100.0,2.99996865487,299.996865487,299.996865487
38,2612176.3472,1269326.3977,271.958,250.981,236.0,-35.958,BC1,100.0,100.0,3.00004176951,300.004176951,300.004176951
39,2612179.3221,1269326.0108,271.935,250.981,236.0,-35.935,BC1,100.0,100.0,3.00006610783,300.006610783,300.006610783
40,2612182.2877,1269325.5581,271.909,251.0078,236.0,-35.909,BC1,100.0,100.0,3.00004571294,300.004571294,300.004571294
41,2612185.2425,1269325.0399,271.879,250.9561,236.0,-35.879,BC1,100.0,100.0,3.00020215655,300.020215655,300.020215655
42,2612188.1852,1269324.4562,271.847,251.1372,236.0,-35.847,BC1,100.0,100.0,3.00009381487,300.009381487,300.009381487
43,2612191.1141,1269323.8075,271.811,251.031,236.0,-35.811,BC1,100.0,100.0,3.00022545324,300.022545324,300.022545324
44,2612194.028,1269323.0941,271.771,251.031,236.0,-35.771,BC1,100.0,100.0,3.00018068275,300.018068275,300.018068275
45,2612196.9253,1269322.3163,271.729,251.0368,236.0,-35.729,BC1,100.0,100.0,3.00028125392,300.028125392,300.028125392
46,2612199.8047,1269321.4745,271.683,251.0368,236.0,-35.683,BC1,100.0,100.0,3.02727609713,302.727609713,302.727609713
47,2612202.6903,1269320.5606,271.633,251.048,236.0,-35.633,BC1,100.0,100.0,3.05408990864,305.408990864,305.408990864
48,2612205.5957,1269319.6207,271.581,254.2674,236.0,-35.581,BC1,100.0,100.0,3.00041225158,300.041225158,300.041225158
49,2612208.4335,1269318.6479,271.526,254.2674,235.5,-36.026,BC1,100.0,100.0,3.00045949341,300.045949341,300.045949341
50,2612211.2494,1269317.6135,271.467,254.3974,235.5,-35.967,BC1,100.0,100.0,3.00069702223,300.069702223,300.069702223
51,2612214.0425,1269316.5186,271.404,254.3974,235.5,-35.904,BC1,100.0,100.0,3.00057339525,300.057339525,300.057339525
52,2612216.8114,1269315.3643,271.339,254.1948,235.5,-35.839,BC1,100.0,100.0,3.00078252455,300.078252455,300.078252455
53,2612219.5554,1269314.1517,271.27,254.2604,236.0,-35.27,BC1,100.0,100.0,3.00075931234,300.075931234,300.075931234
54,2612222.2733,1269312.8819,271.198,254.1907,236.0,-35.198,BC1,100.0,100.0,3.00089686598,300.089686598,300.089686598
55,2612224.9643,1269311.5559,271.123,254.1907,236.0,-35.123,BC1,100.0,100.0,3.00100587125,300.100587125,300.100587125
56,2612227.6275,1269310.1749,271.044,254.1214,236.0,-35.044,BC1,100.0,100.0,3.00108967727,300.108967727,300.108967727
57,2612230.262,1269308.7399,270.962,254.0603,236.0,-34.962,BC1,100.0,100.0,3.00117015493,300.117015493,300.117015493
58,2612232.8671,1269307.2522,270.877,254.0603,236.0,-34.877,BC1,100.0,100.0,3.00118166727,300.118166727,300.118166727
59,2612235.4419,1269305.7128,270.789,254.0751,236.0,-34.789,BC1,100.0,100.0,3.00141633257,300.141633257,300.141633257
60,2612237.9859,1269304.1228,270.697,249.5718,236.0,-34.697,BC1,100.0,100.0,3.00143907786,300.143907786,300.143907786
61,2612240.4982,1269302.4833,270.602,251.5019,236.0,-34.602,BC1,100.0,100.0,3.00155415246,300.155415246,300.155415246
62,2612242.9784,1269300.7956,270.504,251.5019,236.0,-34.504,BC1,100.0,100.0,3.00167432775,300.167432775,300.167432775
63,2612245.4258,1269299.0607,270.402,249.9201,236.0,-34.402,BC1,100.0,100.0,3.01468684969,301.468684969,301.468684969
64,2612247.8502,1269297.2719,270.298,249.9201,235.5,-34.798,BC1,100.0,100.0,0.0,0.0,0.0
65,2612247.8502,1269297.2719,270.298,249.9201,235.5,-34.798,BC1,100.0,100.0,0.0,0.0,0.0
66,2612247.8502,1269297.2719,270.298,249.9201,235.5,-34.798,BC1,100.0,100.0,0.0,0.0,0.0
67,2612247.8502,1269297.2719,270.298,249.9201,235.5,-34.798,BC1,100.0,100.0,0.000999999999976,0.0999999999976,0.0999999999976
68,2612247.8502,1269297.2719,270.297,249.9201,235.5,-34.797,BC1,100.0,100.0,0.0,0.0,0.0
69,2612247.8502,1269297.2719,270.297,249.9201,235.5,-34.797,BC1,100.0,100.0,0.0,0.0,0.0
70,2612247.8502,1269297.2719,270.297,249.9201,235.5,-34.797,BC1,100.0,100.0,0.0,0.0,0.0
