"Point","Type","Station","Northing","Easting","Elevation"
"","","","","",""
"W100:2","","103+767.802","1268897.4600","2610615.6550","241.750"
"","","","","",""
"BC1:3","BC","103+917.325","1268894.6221","2610765.1511","249.226"
"","","","","",""
"W100","","104+071.807","1268891.6900","2610919.6050","254.564"
"","","","","",""
"104+073","","104+073","1268891.6670","2610920.7978","254.587"
"","","","","",""
"104+076","","104+076","1268891.6093","2610923.7972","254.642"
"","","","","",""
"104+079","","104+079","1268891.5516","2610926.7967","254.696"
"","","","","",""
"104+082","","104+082","1268891.4939","2610929.7961","254.748"
"","","","","",""
"104+085","","104+085","1268891.4361","2610932.7956","254.798"
"","","","","",""
"104+088","","104+088","1268891.3784","2610935.7950","254.847"
"","","","","",""
"104+091","","104+091","1268891.3207","2610938.7944","254.894"
"","","","","",""
"104+094","","104+094","1268891.2630","2610941.7939","254.939"
"","","","","",""
"104+097","","104+097","1268891.2052","2610944.7933","254.982"
"","","","","",""
"104+100","","104+100","1268891.1475","2610947.7928","255.023"
"","","","","",""
"104+103","","104+103","1268891.0898","2610950.7922","255.062"
"","","","","",""
"104+106","","104+106","1268891.0321","2610953.7917","255.100"
"","","","","",""
"104+109","","104+109","1268890.9743","2610956.7911","255.136"
"","","","","",""
"104+112","","104+112","1268890.9166","2610959.7906","255.170"
"","","","","",""
"104+115","","104+115","1268890.8589","2610962.7900","255.202"
"","","","","",""
"104+118","","104+118","1268890.8011","2610965.7894","255.233"
"","","","","",""
"104+121","","104+121","1268890.7434","2610968.7889","255.261"
"","","","","",""
"104+124","","104+124","1268890.6857","2610971.7883","255.288"
"","","","","",""
"104+127","","104+127","1268890.6280","2610974.7878","255.313"
"","","","","",""
"104+130","","104+130","1268890.5702","2610977.7872","255.337"
"","","","","",""
"104+133","","104+133","1268890.5125","2610980.7867","255.358"
"","","","","",""
"104+136","","104+136","1268890.4548","2610983.7861","255.378"
"","","","","",""
"104+139","","104+139","1268890.3971","2610986.7856","255.396"
"","","","","",""
"104+142","","104+142","1268890.3393","2610989.7850","255.412"
"","","","","",""
"104+145","","104+145","1268890.2816","2610992.7844","255.426"
"","","","","",""
"104+148","","104+148","1268890.2239","2610995.7839","255.439"
"","","","","",""
"104+151","","104+151","1268890.1662","2610998.7833","255.449"
"","","","","",""
"104+154","","104+154","1268890.1084","2611001.7828","255.458"
"","","","","",""
"104+157","","104+157","1268890.0507","2611004.7822","255.465"
"","","","","",""
"104+160","","104+160","1268889.9930","2611007.7817","255.471"
"","","","","",""
"104+163","","104+163","1268889.9353","2611010.7811","255.474"
"","","","","",""
"104+166","","104+166","1268889.8775","2611013.7806","255.476"
"","","","","",""
"104+169","","104+169","1268889.8198","2611016.7800","255.476"
"","","","","",""
"104+172","","104+172","1268889.7621","2611019.7794","255.474"
"","","","","",""
"104+175","","104+175","1268889.7044","2611022.7789","255.470"
"","","","","",""
"104+178","","104+178","1268889.6466","2611025.7783","255.464"
"","","","","",""
"104+181","","104+181","1268889.5889","2611028.7778","255.457"
"","","","","",""
"104+184","","104+184","1268889.5312","2611031.7772","255.448"
"","","","","",""
"104+187","","104+187","1268889.4734","2611034.7767","255.437"
"","","","","",""
"104+190","","104+190","1268889.4157","2611037.7761","255.424"
"","","","","",""
"104+193","","104+193","1268889.3580","2611040.7756","255.410"
"","","","","",""
"104+196","","104+196","1268889.3003","2611043.7750","255.393"
"","","","","",""
"104+199","","104+199","1268889.2425","2611046.7745","255.375"
"","","","","",""
"104+202","","104+202","1268889.1848","2611049.7739","255.355"
"","","","","",""
"104+205","","104+205","1268889.1271","2611052.7733","255.334"
"","","","","",""
"104+208","","104+208","1268889.0694","2611055.7728","255.310"
"","","","","",""
"104+211","","104+211","1268889.0116","2611058.7722","255.285"
"","","","","",""
"104+214","","104+214","1268888.9539","2611061.7717","255.258"
"","","","","",""
"104+217","","104+217","1268888.8962","2611064.7711","255.229"
"","","","","",""
"104+220","","104+220","1268888.8385","2611067.7706","255.198"
"","","","","",""
"104+223","","104+223","1268888.7807","2611070.7700","255.166"
"","","","","",""
"104+226","","104+226","1268888.7230","2611073.7695","255.131"
"","","","","",""
"104+229","","104+229","1268888.6653","2611076.7689","255.095"
"","","","","",""
"104+232","","104+232","1268888.6076","2611079.7683","255.057"
"","","","","",""
"104+235","","104+235","1268888.5498","2611082.7678","255.018"
"","","","","",""
"104+238","","104+238","1268888.4921","2611085.7672","254.976"
"","","","","",""
"104+241","","104+241","1268888.4344","2611088.7667","254.933"
"","","","","",""
"104+244","","104+244","1268888.3766","2611091.7661","254.888"
"","","","","",""
"104+247","","104+247","1268888.3189","2611094.7656","254.841"
"","","","","",""
"104+250","","104+250","1268888.2612","2611097.7650","254.792"
"","","","","",""
"104+253","","104+253","1268888.2035","2611100.7645","254.741"
"","","","","",""
"104+256","","104+256","1268888.1457","2611103.7639","254.689"
"","","","","",""
"104+259","","104+259","1268888.0880","2611106.7633","254.635"
"","","","","",""
"104+262","","104+262","1268888.0303","2611109.7628","254.579"
"","","","","",""
"104+265","","104+265","1268887.9726","2611112.7622","254.521"
"","","","","",""
"104+268","","104+268","1268887.9148","2611115.7617","254.462"
"","","","","",""
"104+271","","104+271","1268887.8571","2611118.7611","254.400"
"","","","","",""
"104+274","","104+274","1268887.7994","2611121.7606","254.337"
"","","","","",""
"104+277","","104+277","1268887.7417","2611124.7600","254.272"
"","","","","",""
"104+280","","104+280","1268887.6839","2611127.7595","254.206"
"","","","","",""
"104+283","","104+283","1268887.6262","2611130.7589","254.137"
"","","","","",""
"104+286","","104+286","1268887.5685","2611133.7583","254.067"
"","","","","",""
"104+289","","104+289","1268887.5108","2611136.7578","253.995"
"","","","","",""
"104+292","","104+292","1268887.4530","2611139.7572","253.921"
"","","","","",""
"104+295","","104+295","1268887.3953","2611142.7567","253.845"
"","","","","",""
"104+298","","104+298","1268887.3376","2611145.7561","253.767"
"","","","","",""
"104+301","","104+301","1268887.2798","2611148.7556","253.688"
"","","","","",""
"104+304","","104+304","1268887.2221","2611151.7550","253.607"
"","","","","",""
"W101","TS","104+306.969","1268887.1650","2611154.7230","253.525"
"","","","","",""
"104+309.969","SP","104+309.969","1268887.0629","2611157.7213","253.440"
"","","","","",""
"104+312.969","SP","104+312.969","1268886.9602","2611160.7195","253.354"
"","","","","",""
"104+315.969","SP","104+315.969","1268886.8564","2611163.7177","253.265"
"","","","","",""
"104+318.969","SP","104+318.969","1268886.7508","2611166.7158","253.175"
"","","","","",""
"104+321.969","SP","104+321.969","1268886.6429","2611169.7139","253.083"
"","","","","",""
"104+324.969","SP","104+324.969","1268886.5322","2611172.7119","252.990"
"","","","","",""
"104+327.969","SP","104+327.969","1268886.4180","2611175.7097","252.894"
"","","","","",""
"104+330.969","SP","104+330.969","1268886.2997","2611178.7074","252.797"
"","","","","",""
"104+333.969","SP","104+333.969","1268886.1769","2611181.7048","252.698"
"","","","","",""
"104+336.969","SP","104+336.969","1268886.0488","2611184.7021","252.597"
"","","","","",""
"104+339.969","SP","104+339.969","1268885.9150","2611187.6991","252.494"
"","","","","",""
"104+342.969","SP","104+342.969","1268885.7749","2611190.6958","252.390"
"","","","","",""
"104+345.969","SP","104+345.969","1268885.6278","2611193.6922","252.283"
"","","","","",""
"104+348.969","SP","104+348.969","1268885.4733","2611196.6883","252.175"
"","","","","",""
"104+351.969","SP","104+351.969","1268885.3107","2611199.6838","252.065"
"","","","","",""
"W103","SC","104+353.792","1268885.2080","2611201.4980","251.998"
"","","","","",""
"104+355","PC","104+355","1268885.1024","2611202.7018","251.952"
"","","","","",""
"104+358","PC","104+358","1268884.8338","2611205.6898","251.839"
"","","","","",""
"104+361","PC","104+361","1268884.5563","2611208.6769","251.724"
"","","","","",""
"104+364","PC","104+364","1268884.2699","2611211.6632","251.606"
"","","","","",""
"104+367","PC","104+367","1268883.9745","2611214.6486","251.487"
"","","","","",""
"W104","CS","104+369.417","1268883.7300","2611217.0530","251.390"
"","","","","",""
"104+370","SP","104+370","1268883.6015","2611217.6177","251.367"
"","","","","",""
"104+373","SP","104+373","1268882.9304","2611220.5417","251.244"
"","","","","",""
"104+376","SP","104+376","1268882.2516","2611223.4639","251.120"
"","","","","",""
"104+379","SP","104+379","1268881.5656","2611226.3844","250.994"
"","","","","",""
"104+382","SP","104+382","1268880.8734","2611229.3035","250.866"
"","","","","",""
"104+385","SP","104+385","1268880.1757","2611232.2212","250.736"
"","","","","",""
"104+388","SP","104+388","1268879.4733","2611235.1378","250.605"
"","","","","",""
"104+391","SP","104+391","1268878.7669","2611238.0535","250.471"
"","","","","",""
"104+394","SP","104+394","1268878.0573","2611240.9683","250.336"
"","","","","",""
"104+397","SP","104+397","1268877.3453","2611243.8826","250.199"
"","","","","",""
"104+400","SP","104+400","1268876.6317","2611246.7965","250.060"
"","","","","",""
"104+403","SP","104+403","1268875.9173","2611249.7102","249.920"
"","","","","",""
"W206","ST","104+403.312","1268875.8430","2611250.0130","249.905"
"","","","","",""
"104+406","","104+406","1268875.4954","2611252.6787","249.778"
"","","","","",""
"104+409","","104+409","1268875.1074","2611255.6535","249.633"
"","","","","",""
"104+412","","104+412","1268874.7194","2611258.6283","249.487"
"","","","","",""
"104+415","","104+415","1268874.3315","2611261.6031","249.340"
"","","","","",""
"104+418","","104+418","1268873.9435","2611264.5779","249.190"
"","","","","",""
"104+421","","104+421","1268873.5555","2611267.5527","249.039"
"","","","","",""
"104+424","","104+424","1268873.1676","2611270.5275","248.886"
"","","","","",""
"104+427","","104+427","1268872.7796","2611273.5023","248.731"
"","","","","",""
"104+430","","104+430","1268872.3917","2611276.4771","248.574"
"","","","","",""
"104+433","","104+433","1268872.0037","2611279.4519","248.416"
"","","","","",""
"104+436","","104+436","1268871.6157","2611282.4267","248.255"
"","","","","",""
"104+439","","104+439","1268871.2278","2611285.4016","248.093"
"","","","","",""
"104+442","","104+442","1268870.8398","2611288.3764","247.929"
"","","","","",""
"104+445","","104+445","1268870.4518","2611291.3512","247.763"
"","","","","",""
"104+448","","104+448","1268870.0639","2611294.3260","247.596"
"","","","","",""
"104+451","","104+451","1268869.6759","2611297.3008","247.427"
"","","","","",""
"104+454","","104+454","1268869.2880","2611300.2756","247.255"
"","","","","",""
"104+457","","104+457","1268868.9000","2611303.2504","247.082"
"","","","","",""
"W207","TS","104+459.266","1268868.6070","2611305.4970","246.951"
"","","","","",""
"104+460","SP","104+460","1268868.5120","2611306.2252","246.908"
"","","","","",""
"104+463","SP","104+463","1268868.1242","2611309.2000","246.731"
"","","","","",""
"104+466","SP","104+466","1268867.7373","2611312.1750","246.553"
"","","","","",""
"104+469","SP","104+469","1268867.3518","2611315.1501","246.373"
"","","","","",""
"104+472","SP","104+472","1268866.9686","2611318.1255","246.191"
"","","","","",""
"104+475","SP","104+475","1268866.5881","2611321.1013","246.007"
"","","","","",""
"104+478","SP","104+478","1268866.2112","2611324.0775","245.821"
"","","","","",""
"104+481","SP","104+481","1268865.8384","2611327.0543","245.634"
"","","","","",""
"104+484","SP","104+484","1268865.4705","2611330.0316","245.445"
"","","","","",""
"104+487","SP","104+487","1268865.1080","2611333.0097","245.254"
"","","","","",""
"104+490","SP","104+490","1268864.7518","2611335.9884","245.061"
"","","","","",""
"104+493","SP","104+493","1268864.4024","2611338.9680","244.867"
"","","","","",""
"104+496","SP","104+496","1268864.0605","2611341.9485","244.670"
"","","","","",""
"104+499","SP","104+499","1268863.7269","2611344.9299","244.472"
"","","","","",""
"104+502","SP","104+502","1268863.4021","2611347.9122","244.272"
"","","","","",""
