,Station,Easting,Northing,Elevation,DTM,RockSurface,StationReal,RockCover,WBScode,WorkType,ExcavationType,ProfileType,SectionArea,Description,Unit,BoreClass,SupportClass,DisposalClass,StationInterval,ExcavationVolume,DisposalVolume
0,103+767.802,2610615.655,1268897.46,241.75,256.723,235.5,103767.802,-6.25,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,149.7097152361274,NaN,NaN
1,103+917.325,2610765.151,1268894.622,249.226,256.396,235.0,103917.325,-14.225999999999999,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,154.57402428601176,NaN,NaN
2,104+071.807,2610919.605,1268891.69,254.564,244.824,237.0,104071.807,-17.563999999999993,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,1.1934433375451672,NaN,NaN
3,104+073,2610920.798,1268891.667,254.587,244.766,237.0,104073.0,-17.58699999999999,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.000064999131238,NaN,NaN
4,104+076,2610923.797,1268891.609,254.642,244.766,237.0,104076.0,-17.641999999999996,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.001027324101431,NaN,NaN
5,104+079,2610926.797,1268891.552,254.696,244.722,237.0,104079.0,-17.695999999999998,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.000011500278849,NaN,NaN
6,104+082,2610929.796,1268891.494,254.748,244.722,237.0,104082.0,-17.74799999999999,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0009771741876783,NaN,NaN
7,104+085,2610932.796,1268891.436,254.798,244.73,237.0,104085.0,-17.798000000000002,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.9999609995818806,NaN,NaN
8,104+088,2610935.795,1268891.378,254.847,244.856,237.0,104088.0,-17.84700000000001,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.9999098322805113,NaN,NaN
9,104+091,2610938.794,1268891.321,254.894,244.856,237.0,104091.0,-17.894000000000005,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0008980322555883,NaN,NaN
10,104+094,2610941.794,1268891.263,254.939,244.81,237.0,104094.0,-17.938999999999993,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.9998689969750867,NaN,NaN
11,104+097,2610944.793,1268891.205,254.982,244.81,237.0,104097.0,-17.982,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0008215541753556,NaN,NaN
