,Station,Easting,Northing,Elevation,easting,northing,DTM
0,204+874.1,2612071.5482,1269294.1221,270.962,2612071.5482,1269294.1221,253.524
1,204+876,2612072.9907,1269295.3587,270.989,2612072.9907,1269295.3587,253.6122
2,204+879,2612075.3031,1269297.2698,271.033,2612075.3031,1269297.2698,253.1596
3,204+882,2612077.6574,1269299.1291,271.076,2612077.6574,1269299.1291,253.1596
4,204+885,2612080.0523,1269300.9358,271.12,2612080.0523,1269300.9358,252.9344
5,204+888,2612082.4866,1269302.689,271.163,2612082.4866,1269302.689,252.9344
6,204+891,2612084.9592,1269304.3878,271.207,2612084.9592,1269304.3878,252.9344
7,204+894,2612087.4688,1269306.0314,271.25,2612087.4688,1269306.0314,252.574
8,204+897,2612090.0142,1269307.619,271.294,2612090.0142,1269307.619,252.0129
9,204+900,2612092.5942,1269309.1498,271.337,2612092.5942,1269309.1498,252.0129
10,204+903,2612095.2075,1269310.6231,271.381,2612095.2075,1269310.6231,251.8054
11,204+906,2612097.8528,1269312.0381,271.424,2612097.8528,1269312.0381,251.8054
12,204+909,2612100.5287,1269313.3941,271.468,2612100.5287,1269313.3941,251.6312
13,204+912,2612103.2341,1269314.6905,271.511,2612103.2341,1269314.6905,251.6312
14,204+915,2612105.9675,1269315.9266,271.555,2612105.9675,1269315.9266,251.1492
15,204+918,2612108.7277,1269317.1019,271.598,2612108.7277,1269317.1019,251.1492
16,204+921,2612111.5132,1269318.2157,271.642,2612111.5132,1269318.2157,251.1567
17,204+924,2612114.3227,1269319.2675,271.685,2612114.3227,1269319.2675,251.1567
18,204+927,2612117.1548,1269320.2568,271.729,2612117.1548,1269320.2568,250.6956
19,204+927.637,2612117.7589,1269320.4587,271.738,2612117.7589,1269320.4587,250.6956
20,204+930,2612120.0082,1269321.1831,271.771,2612120.0082,1269321.1831,250.6664
21,204+933,2612122.8813,1269322.0459,271.811,2612122.8813,1269322.0459,250.6664
22,204+936,2612125.7729,1269322.8449,271.847,2612125.7729,1269322.8449,250.6372
23,204+939,2612128.6815,1269323.5796,271.879,2612128.6815,1269323.5796,250.6372
24,204+942,2612131.6057,1269324.2496,271.909,2612131.6057,1269324.2496,250.638
25,204+945,2612134.5439,1269324.8547,271.935,2612134.5439,1269324.8547,250.638
26,204+948,2612137.4949,1269325.3946,271.958,2612137.4949,1269325.3946,248.9911
27,204+951,2612140.4571,1269325.8689,271.978,2612140.4571,1269325.8689,249.5887
28,204+954,2612143.4291,1269326.2774,271.994,2612143.4291,1269326.2774,249.5887
29,204+957,2612146.4094,1269326.6201,272.007,2612146.4094,1269326.6201,250.4562
30,204+960,2612149.3966,1269326.8965,272.017,2612149.3966,1269326.8965,250.4562
31,204+963,2612152.3891,1269327.1068,272.023,2612152.3891,1269327.1068,250.596
32,204+966,2612155.3856,1269327.2506,272.027,2612155.3856,1269327.2506,250.7349
33,204+969,2612158.3846,1269327.3281,272.027,2612158.3846,1269327.3281,250.7349
34,204+972,2612161.3845,1269327.339,272.023,,,
35,204+975,2612164.3839,1269327.2835,272.017,2612164.3839,1269327.2835,250.7949
36,204+978,2612167.3814,1269327.1615,272.007,2612167.3814,1269327.1615,250.8807
37,204+981,2612170.3754,1269326.9731,271.994,2612170.3754,1269326.9731,250.9536
38,204+984,2612173.3645,1269326.7185,271.978,2612173.3645,1269326.7185,250.9536
39,204+987,2612176.3472,1269326.3977,271.958,2612176.3472,1269326.3977,250.981
40,204+990,2612179.3221,1269326.0108,271.935,2612179.3221,1269326.0108,250.981
41,204+993,2612182.2877,1269325.5581,271.909,2612182.2877,1269325.5581,251.0078
42,204+996,2612185.2425,1269325.0399,271.879,2612185.2425,1269325.0399,250.9561
43,204+999,2612188.1852,1269324.4562,271.847,2612188.1852,1269324.4562,251.1372
44,205+002,2612191.1141,1269323.8075,271.811,2612191.1141,1269323.8075,251.031
45,205+005,2612194.028,1269323.0941,271.771,2612194.028,1269323.0941,251.031
46,205+008,2612196.9253,1269322.3163,271.729,2612196.9253,1269322.3163,251.0368
47,205+011,2612199.8047,1269321.4745,271.683,2612199.8047,1269321.4745,251.0368
48,205+014,2612202.6648,1269320.569,271.634,,,
49,205+014.027,2612202.6903,1269320.5606,271.633,2612202.6903,1269320.5606,251.048
50,205+017,2612205.5957,1269319.6207,271.581,2612205.5957,1269319.6207,254.2674
51,205+020,2612208.4335,1269318.6479,271.526,2612208.4335,1269318.6479,254.2674
52,205+023,2612211.2494,1269317.6135,271.467,2612211.2494,1269317.6135,254.3974
53,205+026,2612214.0425,1269316.5186,271.404,2612214.0425,1269316.5186,254.3974
54,205+029,2612216.8114,1269315.3643,271.339,2612216.8114,1269315.3643,254.1948
55,205+032,2612219.5554,1269314.1517,271.27,2612219.5554,1269314.1517,254.2604
56,205+035,2612222.2733,1269312.8819,271.198,2612222.2733,1269312.8819,254.1907
57,205+038,2612224.9643,1269311.5559,271.123,2612224.9643,1269311.5559,254.1907
58,205+041,2612227.6275,1269310.1749,271.044,2612227.6275,1269310.1749,254.1214
59,205+044,2612230.262,1269308.7399,270.962,2612230.262,1269308.7399,254.0603
60,205+047,2612232.8671,1269307.2522,270.877,2612232.8671,1269307.2522,254.0603
61,205+050,2612235.4419,1269305.7128,270.789,2612235.4419,1269305.7128,254.0751
62,205+053,2612237.9859,1269304.1228,270.697,2612237.9859,1269304.1228,249.5718
